respondent_id,wave,party,benefit_cut_support
1,1,SF,0
1,2,SF,NA
1,3,SF,NA
1,4,SF,NA
1,5,SF,NA
2,1,NA,0
2,2,NA,NA
2,3,NA,NA
2,4,NA,NA
2,5,NA,NA
3,1,NA,0
3,2,NA,0
3,3,NA,0
3,4,NA,0
3,5,NA,0
4,1,NA,0.5
4,2,NA,0.75
4,3,NA,0.75
4,4,NA,0.75
4,5,NA,NA
5,1,SF,0.75
5,2,SF,NA
5,3,SF,NA
5,4,SF,NA
5,5,SF,NA
6,1,S,0.25
6,2,S,0.5
6,3,S,0.5
6,4,S,0.5
6,5,S,0.5
7,1,V,0.75
7,2,V,0.5
7,3,V,0.75
7,4,V,0.75
7,5,V,0.75
8,1,S,0
8,2,S,0
8,3,S,NA
8,4,S,0
8,5,S,0
9,1,V,1
9,2,V,NA
9,3,V,NA
9,4,V,NA
9,5,V,NA
10,1,C,0.75
10,2,C,0.75
10,3,C,1
10,4,C,1
10,5,C,1
11,1,SF,0.25
11,2,SF,0.25
11,3,SF,0.25
11,4,SF,NA
11,5,SF,NA
12,1,SF,0
12,2,SF,0.25
12,3,SF,0
12,4,SF,0.25
12,5,SF,0
13,1,SF,0
13,2,SF,0
13,3,SF,0
13,4,SF,0
13,5,SF,0
14,1,NA,0.75
14,2,NA,NA
14,3,NA,NA
14,4,NA,NA
14,5,NA,NA
15,1,C,0.75
15,2,C,0.75
15,3,C,0.75
15,4,C,1
15,5,C,0.75
16,1,RV,0.5
16,2,RV,0.5
16,3,RV,0.5
16,4,RV,0.25
16,5,RV,0.25
17,1,V,1
17,2,V,1
17,3,V,1
17,4,V,1
17,5,V,1
18,1,V,0.75
18,2,V,NA
18,3,V,NA
18,4,V,NA
18,5,V,NA
19,1,DF,0
19,2,DF,0
19,3,DF,0.75
19,4,DF,0.25
19,5,DF,NA
20,1,SF,0
20,2,SF,0
20,3,SF,0
20,4,SF,NA
20,5,SF,0
21,1,SF,0.25
21,2,SF,NA
21,3,SF,NA
21,4,SF,NA
21,5,SF,NA
22,1,C,1
22,2,C,1
22,3,C,NA
22,4,C,1
22,5,C,1
23,1,SF,0
23,2,SF,0
23,3,SF,NA
23,4,SF,NA
23,5,SF,0
24,1,NA,0
24,2,NA,0.5
24,3,NA,0.5
24,4,NA,0.5
24,5,NA,0.5
25,1,SF,0.25
25,2,SF,0.75
25,3,SF,0.75
25,4,SF,0.25
25,5,SF,NA
26,1,RV,0
26,2,RV,NA
26,3,RV,NA
26,4,RV,NA
26,5,RV,NA
27,1,NA,1
27,2,NA,0.75
27,3,NA,1
27,4,NA,1
27,5,NA,1
28,1,V,0.5
28,2,V,NA
28,3,V,NA
28,4,V,NA
28,5,V,NA
29,1,C,0.5
29,2,C,NA
29,3,C,NA
29,4,C,NA
29,5,C,NA
30,1,DF,1
30,2,DF,1
30,3,DF,NA
30,4,DF,1
30,5,DF,1
31,1,C,0
31,2,C,0
31,3,C,0.25
31,4,C,0.75
31,5,C,0.5
32,1,DF,1
32,2,DF,0.75
32,3,DF,1
32,4,DF,1
32,5,DF,1
33,1,C,0.75
33,2,C,0.75
33,3,C,1
33,4,C,1
33,5,C,1
34,1,S,0.75
34,2,S,0.75
34,3,S,0.75
34,4,S,NA
34,5,S,NA
35,1,C,1
35,2,C,0.75
35,3,C,1
35,4,C,NA
35,5,C,NA
36,1,SF,0
36,2,SF,NA
36,3,SF,NA
36,4,SF,NA
36,5,SF,NA
37,1,S,0
37,2,S,0
37,3,S,0
37,4,S,0.5
37,5,S,0.25
38,1,S,0
38,2,S,0.25
38,3,S,0
38,4,S,0
38,5,S,0.25
39,1,NA,NA
39,2,NA,NA
39,3,NA,NA
39,4,NA,0.75
39,5,NA,NA
40,1,C,NA
40,2,C,1
40,3,C,0.75
40,4,C,NA
40,5,C,1
41,1,NA,0.75
41,2,NA,NA
41,3,NA,NA
41,4,NA,NA
41,5,NA,NA
42,1,C,0.75
42,2,C,0.75
42,3,C,0.75
42,4,C,0.75
42,5,C,1
43,1,RV,NA
43,2,RV,NA
43,3,RV,NA
43,4,RV,NA
43,5,RV,NA
44,1,SF,0.25
44,2,SF,0.5
44,3,SF,0.5
44,4,SF,0.5
44,5,SF,0.75
45,1,SF,0.25
45,2,SF,0.75
45,3,SF,0.5
45,4,SF,0.5
45,5,SF,0.25
46,1,C,0
46,2,C,NA
46,3,C,NA
46,4,C,NA
46,5,C,NA
47,1,RV,0.5
47,2,RV,NA
47,3,RV,NA
47,4,RV,NA
47,5,RV,NA
48,1,NA,0.25
48,2,NA,0
48,3,NA,0.75
48,4,NA,0.25
48,5,NA,0.25
49,1,S,0
49,2,S,0.25
49,3,S,0.75
49,4,S,NA
49,5,S,NA
50,1,SF,0.75
50,2,SF,0.75
50,3,SF,0.5
50,4,SF,0.5
50,5,SF,0.5
51,1,V,1
51,2,V,NA
51,3,V,NA
51,4,V,NA
51,5,V,NA
52,1,OE,0.25
52,2,OE,0
52,3,OE,0.25
52,4,OE,0.5
52,5,OE,0
53,1,NA,0.75
53,2,NA,1
53,3,NA,1
53,4,NA,NA
53,5,NA,NA
54,1,V,1
54,2,V,NA
54,3,V,NA
54,4,V,NA
54,5,V,NA
55,1,V,1
55,2,V,1
55,3,V,1
55,4,V,0.75
55,5,V,1
56,1,OE,0.5
56,2,OE,NA
56,3,OE,NA
56,4,OE,NA
56,5,OE,NA
57,1,SF,0
57,2,SF,0
57,3,SF,0.25
57,4,SF,NA
57,5,SF,0.25
58,1,SF,0
58,2,SF,0
58,3,SF,0
58,4,SF,0.25
58,5,SF,0
59,1,SF,0
59,2,SF,0
59,3,SF,0
59,4,SF,0
59,5,SF,0
60,1,S,0.25
60,2,S,0
60,3,S,NA
60,4,S,0.25
60,5,S,0.25
61,1,SF,0
61,2,SF,0
61,3,SF,0.75
61,4,SF,0.25
61,5,SF,NA
62,1,NA,1
62,2,NA,NA
62,3,NA,NA
62,4,NA,NA
62,5,NA,NA
63,1,V,0.75
63,2,V,0.5
63,3,V,0.75
63,4,V,1
63,5,V,0.75
64,1,V,0.75
64,2,V,0.75
64,3,V,1
64,4,V,1
64,5,V,1
65,1,C,0
65,2,C,0
65,3,C,0
65,4,C,0.25
65,5,C,0.25
66,1,SF,0
66,2,SF,0
66,3,SF,NA
66,4,SF,0.5
66,5,SF,0
67,1,S,0
67,2,S,NA
67,3,S,NA
67,4,S,NA
67,5,S,NA
68,1,NA,0.25
68,2,NA,0.25
68,3,NA,0.75
68,4,NA,0.25
68,5,NA,0.25
69,1,OE,1
69,2,OE,1
69,3,OE,1
69,4,OE,0
69,5,OE,0
70,1,SF,0.5
70,2,SF,0.5
70,3,SF,0.25
70,4,SF,0.25
70,5,SF,0
71,1,SF,0.75
71,2,SF,0.5
71,3,SF,0.75
71,4,SF,NA
71,5,SF,NA
72,1,NA,1
72,2,NA,0.75
72,3,NA,1
72,4,NA,1
72,5,NA,0.75
73,1,SF,0
73,2,SF,NA
73,3,SF,NA
73,4,SF,NA
73,5,SF,NA
74,1,V,0.5
74,2,V,0
74,3,V,0.25
74,4,V,NA
74,5,V,NA
75,1,C,0.5
75,2,C,0.25
75,3,C,NA
75,4,C,0
75,5,C,0.25
76,1,S,0.25
76,2,S,NA
76,3,S,NA
76,4,S,NA
76,5,S,NA
77,1,OE,0.25
77,2,OE,0
77,3,OE,0.25
77,4,OE,0
77,5,OE,0
78,1,NA,0
78,2,NA,NA
78,3,NA,NA
78,4,NA,NA
78,5,NA,0.5
79,1,S,0.25
79,2,S,0.75
79,3,S,0.75
79,4,S,0.25
79,5,S,0.25
80,1,NA,0
80,2,NA,0
80,3,NA,NA
80,4,NA,NA
80,5,NA,NA
81,1,RV,0.75
81,2,RV,0.75
81,3,RV,1
81,4,RV,0.75
81,5,RV,0.75
82,1,SF,0
82,2,SF,0
82,3,SF,0.25
82,4,SF,NA
82,5,SF,NA
83,1,V,1
83,2,V,NA
83,3,V,NA
83,4,V,NA
83,5,V,NA
84,1,SF,0.25
84,2,SF,0
84,3,SF,0.25
84,4,SF,0.25
84,5,SF,0.25
85,1,SF,0.75
85,2,SF,0.75
85,3,SF,0.75
85,4,SF,0.75
85,5,SF,0.75
86,1,NA,0
86,2,NA,0
86,3,NA,0
86,4,NA,0
86,5,NA,NA
87,1,V,0.5
87,2,V,0.5
87,3,V,1
87,4,V,0.25
87,5,V,0.5
88,1,S,NA
88,2,S,0.5
88,3,S,0.75
88,4,S,0.75
88,5,S,0.75
89,1,RV,1
89,2,RV,1
89,3,RV,1
89,4,RV,0.5
89,5,RV,1
90,1,S,0.75
90,2,S,0.25
90,3,S,0.25
90,4,S,0.25
90,5,S,0.25
91,1,S,NA
91,2,S,NA
91,3,S,NA
91,4,S,NA
91,5,S,NA
92,1,S,0
92,2,S,0
92,3,S,0.75
92,4,S,0.25
92,5,S,0.25
93,1,V,0.25
93,2,V,0.5
93,3,V,NA
93,4,V,0.5
93,5,V,0.75
94,1,SF,0
94,2,SF,NA
94,3,SF,NA
94,4,SF,NA
94,5,SF,NA
95,1,SF,0
95,2,SF,0
95,3,SF,0
95,4,SF,0
95,5,SF,0
96,1,NA,0.75
96,2,NA,0.75
96,3,NA,NA
96,4,NA,0.75
96,5,NA,NA
97,1,SF,0.25
97,2,SF,0
97,3,SF,NA
97,4,SF,0.75
97,5,SF,NA
98,1,C,1
98,2,C,1
98,3,C,1
98,4,C,1
98,5,C,1
99,1,S,0
99,2,S,NA
99,3,S,NA
99,4,S,NA
99,5,S,NA
100,1,C,0.5
100,2,C,NA
100,3,C,NA
100,4,C,NA
100,5,C,NA
101,1,S,0.25
101,2,S,0
101,3,S,0.5
101,4,S,0.25
101,5,S,0
102,1,V,0.5
102,2,V,0.75
102,3,V,0.25
102,4,V,0.5
102,5,V,NA
103,1,S,0.25
103,2,S,0.5
103,3,S,0.25
103,4,S,0.75
103,5,S,NA
104,1,DF,1
104,2,DF,1
104,3,DF,1
104,4,DF,1
104,5,DF,1
105,1,NA,NA
105,2,NA,NA
105,3,NA,NA
105,4,NA,NA
105,5,NA,NA
106,1,C,0.5
106,2,C,0.25
106,3,C,0.75
106,4,C,0.25
106,5,C,0
107,1,Kr,0
107,2,Kr,0.25
107,3,Kr,NA
107,4,Kr,0
107,5,Kr,0
108,1,S,0
108,2,S,0.25
108,3,S,NA
108,4,S,0
108,5,S,NA
109,1,S,0
109,2,S,0
109,3,S,0
109,4,S,0.25
109,5,S,NA
110,1,S,0
110,2,S,0
110,3,S,0
110,4,S,0.5
110,5,S,0
111,1,SF,0
111,2,SF,0
111,3,SF,NA
111,4,SF,NA
111,5,SF,NA
112,1,S,0
112,2,S,0
112,3,S,NA
112,4,S,NA
112,5,S,NA
113,1,SF,0.75
113,2,SF,NA
113,3,SF,NA
113,4,SF,NA
113,5,SF,NA
114,1,SF,0
114,2,SF,0.25
114,3,SF,0.25
114,4,SF,0.25
114,5,SF,0
115,1,DF,0.75
115,2,DF,NA
115,3,DF,NA
115,4,DF,NA
115,5,DF,NA
116,1,V,0.25
116,2,V,0.25
116,3,V,0.25
116,4,V,0
116,5,V,0
117,1,V,0.75
117,2,V,0.5
117,3,V,1
117,4,V,NA
117,5,V,1
118,1,SF,0
118,2,SF,0.25
118,3,SF,0
118,4,SF,0.25
118,5,SF,NA
119,1,V,0.5
119,2,V,0.75
119,3,V,NA
119,4,V,0.75
119,5,V,0.75
120,1,S,1
120,2,S,0.75
120,3,S,1
120,4,S,NA
120,5,S,NA
121,1,RV,1
121,2,RV,1
121,3,RV,1
121,4,RV,1
121,5,RV,1
122,1,SF,0
122,2,SF,0
122,3,SF,NA
122,4,SF,0
122,5,SF,0
123,1,SF,0.5
123,2,SF,0.75
123,3,SF,0.75
123,4,SF,0.5
123,5,SF,0.5
124,1,RV,0.75
124,2,RV,0.75
124,3,RV,0.75
124,4,RV,0.75
124,5,RV,0
125,1,V,0
125,2,V,0
125,3,V,0
125,4,V,NA
125,5,V,NA
126,1,NA,0
126,2,NA,NA
126,3,NA,NA
126,4,NA,NA
126,5,NA,NA
127,1,SF,0
127,2,SF,NA
127,3,SF,NA
127,4,SF,NA
127,5,SF,NA
128,1,RV,0
128,2,RV,0
128,3,RV,0
128,4,RV,0.25
128,5,RV,NA
129,1,RV,0.75
129,2,RV,0.75
129,3,RV,0.75
129,4,RV,0.5
129,5,RV,0.5
130,1,V,1
130,2,V,NA
130,3,V,NA
130,4,V,NA
130,5,V,NA
131,1,S,0
131,2,S,0
131,3,S,0
131,4,S,0
131,5,S,0
132,1,V,0.5
132,2,V,0.5
132,3,V,0
132,4,V,0
132,5,V,0
133,1,S,1
133,2,S,NA
133,3,S,0.25
133,4,S,0.75
133,5,S,0.75
134,1,SF,0
134,2,SF,0
134,3,SF,NA
134,4,SF,0
134,5,SF,0
135,1,V,NA
135,2,V,NA
135,3,V,NA
135,4,V,NA
135,5,V,NA
136,1,C,0.75
136,2,C,NA
136,3,C,NA
136,4,C,NA
136,5,C,NA
137,1,V,1
137,2,V,NA
137,3,V,NA
137,4,V,NA
137,5,V,NA
138,1,SF,0
138,2,SF,NA
138,3,SF,NA
138,4,SF,NA
138,5,SF,NA
139,1,OE,0
139,2,OE,NA
139,3,OE,NA
139,4,OE,NA
139,5,OE,NA
140,1,NA,0
140,2,NA,0
140,3,NA,0
140,4,NA,0
140,5,NA,0
141,1,S,0.25
141,2,S,0.5
141,3,S,0.25
141,4,S,NA
141,5,S,NA
142,1,RV,0.5
142,2,RV,0.25
142,3,RV,0.5
142,4,RV,0.75
142,5,RV,0.75
143,1,S,0.25
143,2,S,0.5
143,3,S,NA
143,4,S,0.75
143,5,S,NA
144,1,NA,1
144,2,NA,0.75
144,3,NA,0.75
144,4,NA,1
144,5,NA,1
145,1,V,0.25
145,2,V,0.25
145,3,V,0.5
145,4,V,0.75
145,5,V,0.5
146,1,RV,NA
146,2,RV,0.5
146,3,RV,NA
146,4,RV,0.5
146,5,RV,0.5
147,1,V,0
147,2,V,NA
147,3,V,NA
147,4,V,NA
147,5,V,NA
148,1,SF,0.5
148,2,SF,0.5
148,3,SF,NA
148,4,SF,NA
148,5,SF,NA
149,1,S,0
149,2,S,0
149,3,S,0
149,4,S,0
149,5,S,NA
150,1,NA,0.5
150,2,NA,NA
150,3,NA,NA
150,4,NA,0.5
150,5,NA,NA
151,1,SF,0.5
151,2,SF,0.25
151,3,SF,0.75
151,4,SF,0.5
151,5,SF,0.25
152,1,C,0.5
152,2,C,NA
152,3,C,NA
152,4,C,0.5
152,5,C,NA
153,1,S,0.75
153,2,S,NA
153,3,S,NA
153,4,S,NA
153,5,S,NA
154,1,SF,0.5
154,2,SF,0
154,3,SF,NA
154,4,SF,0.75
154,5,SF,NA
155,1,NA,0
155,2,NA,0
155,3,NA,NA
155,4,NA,0
155,5,NA,0
156,1,SF,0
156,2,SF,NA
156,3,SF,NA
156,4,SF,0
156,5,SF,NA
157,1,SF,0
157,2,SF,0
157,3,SF,NA
157,4,SF,0
157,5,SF,NA
158,1,C,0.75
158,2,C,0.75
158,3,C,NA
158,4,C,NA
158,5,C,NA
159,1,NA,0.25
159,2,NA,NA
159,3,NA,NA
159,4,NA,0
159,5,NA,NA
160,1,S,0.5
160,2,S,0.5
160,3,S,NA
160,4,S,NA
160,5,S,NA
161,1,V,0.75
161,2,V,NA
161,3,V,NA
161,4,V,NA
161,5,V,NA
162,1,SF,0
162,2,SF,NA
162,3,SF,0
162,4,SF,NA
162,5,SF,NA
163,1,C,0
163,2,C,NA
163,3,C,NA
163,4,C,NA
163,5,C,NA
164,1,S,0
164,2,S,NA
164,3,S,NA
164,4,S,NA
164,5,S,NA
165,1,S,0
165,2,S,0
165,3,S,0
165,4,S,0
165,5,S,NA
166,1,DF,0.75
166,2,DF,NA
166,3,DF,NA
166,4,DF,NA
166,5,DF,NA
167,1,V,0
167,2,V,0
167,3,V,NA
167,4,V,NA
167,5,V,0
168,1,S,0.75
168,2,S,NA
168,3,S,0.75
168,4,S,NA
168,5,S,NA
169,1,SF,0
169,2,SF,1
169,3,SF,0
169,4,SF,NA
169,5,SF,0.5
170,1,C,0.25
170,2,C,NA
170,3,C,NA
170,4,C,NA
170,5,C,NA
171,1,S,0
171,2,S,NA
171,3,S,NA
171,4,S,0.75
171,5,S,0.75
172,1,SF,NA
172,2,SF,NA
172,3,SF,NA
172,4,SF,NA
172,5,SF,NA
173,1,S,0
173,2,S,NA
173,3,S,NA
173,4,S,NA
173,5,S,NA
174,1,S,0
174,2,S,0
174,3,S,0.75
174,4,S,0
174,5,S,0
175,1,SF,0
175,2,SF,0
175,3,SF,0.25
175,4,SF,0
175,5,SF,0
176,1,S,0
176,2,S,NA
176,3,S,NA
176,4,S,NA
176,5,S,NA
177,1,NA,0.75
177,2,NA,NA
177,3,NA,NA
177,4,NA,NA
177,5,NA,NA
178,1,C,0.75
178,2,C,0.75
178,3,C,1
178,4,C,1
178,5,C,0.5
179,1,SF,0
179,2,SF,NA
179,3,SF,NA
179,4,SF,NA
179,5,SF,NA
180,1,V,0.75
180,2,V,1
180,3,V,1
180,4,V,1
180,5,V,1
181,1,SF,0
181,2,SF,0
181,3,SF,0
181,4,SF,0
181,5,SF,NA
182,1,C,1
182,2,C,1
182,3,C,1
182,4,C,1
182,5,C,NA
183,1,C,0
183,2,C,0.25
183,3,C,NA
183,4,C,0
183,5,C,0.25
184,1,SF,0.25
