year,id_,sex,rincome,ballot,rheight
2022,1,FEMALE,$25000 OR MORE,Ballot c,64
2022,2,MALE,.i:  Inapplicable,Ballot a,-100
2022,3,FEMALE,$25000 OR MORE,Ballot c,63
2022,4,FEMALE,$5000 TO 5999,Ballot a,-100
2022,5,MALE,.i:  Inapplicable,Ballot c,71
2022,6,MALE,$25000 OR MORE,Ballot c,72
2022,7,FEMALE,$25000 OR MORE,Ballot c,63
2022,8,MALE,$25000 OR MORE,Ballot c,69
2022,9,FEMALE,$15000 - 19999,Ballot a,-100
2022,10,FEMALE,.i:  Inapplicable,Ballot b,-100
2022,11,FEMALE,.i:  Inapplicable,Ballot b,-100
2022,12,FEMALE,$25000 OR MORE,Ballot c,63
2022,13,FEMALE,$25000 OR MORE,Ballot b,-100
2022,14,FEMALE,LT $1000,Ballot c,67
2022,15,FEMALE,.i:  Inapplicable,Ballot a,-100
2022,16,MALE,.i:  Inapplicable,Ballot a,-100
2022,17,FEMALE,.i:  Inapplicable,Ballot b,-100
2022,18,FEMALE,$25000 OR MORE,Ballot b,-100
2022,19,FEMALE,$10000 - 14999,Ballot c,67
2022,20,FEMALE,.i:  Inapplicable,Ballot b,-100
2022,21,FEMALE,$3000 TO 3999,Ballot a,-100
2022,22,FEMALE,.i:  Inapplicable,Ballot a,-100
2022,23,MALE,$25000 OR MORE,Ballot a,-100
2022,24,FEMALE,$25000 OR MORE,Ballot a,-100
2022,25,MALE,LT $1000,Ballot a,-100
2022,26,FEMALE,.i:  Inapplicable,Ballot a,-100
2022,27,MALE,$25000 OR MORE,Ballot c,70
2022,28,FEMALE,.i:  Inapplicable,Ballot a,-100
2022,29,MALE,.r:  Refused,Ballot c,74
2022,30,FEMALE,.i:  Inapplicable,Ballot b,-100
2022,31,MALE,$25000 OR MORE,Ballot c,70
2022,32,.d:  Do not Know/Cannot Choose,.r:  Refused,Ballot c,95
2022,33,FEMALE,.i:  Inapplicable,Ballot b,-100
2022,34,FEMALE,.i:  Inapplicable,Ballot c,64
2022,35,FEMALE,.i:  Inapplicable,Ballot a,-100
2022,36,MALE,$15000 - 19999,Ballot a,-100
2022,37,MALE,.i:  Inapplicable,Ballot b,-100
2022,38,MALE,.i:  Inapplicable,Ballot b,-100
2022,39,FEMALE,$25000 OR MORE,Ballot a,-100
2022,40,MALE,$25000 OR MORE,Ballot c,70
2022,41,FEMALE,$25000 OR MORE,Ballot b,-100
2022,42,FEMALE,.d:  Do not Know/Cannot Choose,Ballot c,62
2022,43,FEMALE,$10000 - 14999,Ballot b,-100
2022,44,MALE,$25000 OR MORE,Ballot a,-100
2022,45,FEMALE,.i:  Inapplicable,Ballot c,67
2022,46,FEMALE,$25000 OR MORE,Ballot c,63
2022,47,FEMALE,$25000 OR MORE,Ballot a,-100
2022,48,MALE,$25000 OR MORE,Ballot b,-100
2022,49,MALE,.i:  Inapplicable,Ballot a,-100
